x,y,z,blade_engaged
-0.000488,-0.008220,0.059662,1
-0.000485,-0.008217,0.059665,1
-0.000298,-0.008453,0.059574,1
-0.000231,-0.008452,0.059592,1
-0.000163,-0.008451,0.059609,1
-0.000094,-0.008449,0.059628,1
-0.000024,-0.008448,0.059646,1
0.000104,-0.008626,0.059582,1
0.000100,-0.008683,0.059551,1
0.000251,-0.008781,0.059535,1
0.000342,-0.008871,0.059508,1
0.000438,-0.008968,0.059479,1
0.000466,-0.008962,0.059490,1
0.000600,-0.009122,0.059453,1
0.000704,-0.009250,0.059424,1
0.000812,-0.009385,0.059392,1
0.000925,-0.009528,0.059358,1
0.001065,-0.009709,0.059313,1
0.001167,-0.009804,0.059305,1
0.001336,-0.009914,0.059312,1
0.001298,-0.010218,0.059169,1
0.001605,-0.010412,0.059193,1
0.001571,-0.010462,0.059163,1
0.001941,-0.010759,0.059183,1
0.002015,-0.010829,0.059184,1
0.002138,-0.011158,0.059118,1
0.002210,-0.011141,0.059147,1
0.002251,-0.011288,0.059122,1
0.002540,-0.011517,0.059152,1
0.002567,-0.011611,0.059138,1
0.002863,-0.011772,0.059184,1
0.002875,-0.011759,0.059190,1
0.003203,-0.011991,0.059217,1
0.003212,-0.011982,0.059221,1
0.003222,-0.011969,0.059226,1
0.003691,-0.012279,0.059252,1
0.003713,-0.012252,0.059261,1
0.003843,-0.012321,0.059266,1
0.003983,-0.012320,0.059289,1
0.004119,-0.012419,0.059289,1
0.004377,-0.012557,0.059285,1
0.004440,-0.012508,0.059302,1
0.004634,-0.012579,0.059308,1
0.004631,-0.012616,0.059300,1
0.004954,-0.012909,0.059256,1
0.005207,-0.012861,0.059279,1
0.005296,-0.012803,0.059294,1
0.005386,-0.012745,0.059310,1
0.005728,-0.012852,0.059294,1
0.005726,-0.012877,0.059289,1
0.005724,-0.012899,0.059284,1
0.006165,-0.012857,0.059292,1
0.006275,-0.012949,0.059270,1
0.006385,-0.013042,0.059249,1
0.006541,-0.012990,0.059258,1
0.006765,-0.013083,0.059231,1
0.006933,-0.013078,0.059228,1
0.007101,-0.013072,0.059225,1
0.007362,-0.013159,0.059199,1
0.007387,-0.013106,0.059209,1
0.007612,-0.013040,0.059214,1
0.007780,-0.013024,0.059209,1
0.007978,-0.013146,0.059174,1
0.008139,-0.012993,0.059194,1
0.008367,-0.013176,0.059137,1
0.008440,-0.013091,0.059149,1
0.008671,-0.012967,0.059153,1
0.008828,-0.012980,0.059133,1
0.008974,-0.012992,0.059115,1
0.009117,-0.013003,0.059096,1
0.009341,-0.012962,0.059078,1
0.009417,-0.012857,0.059086,1
0.009495,-0.012748,0.059094,1
0.009686,-0.012720,0.059072,1
0.009677,-0.012673,0.059082,1
0.010087,-0.012566,0.059026,1
0.009980,-0.012310,0.059090,1
0.010277,-0.012302,0.059033,1
0.010230,-0.012134,0.059073,1
0.010349,-0.012042,0.059064,1
0.010469,-0.011954,0.059054,1
0.010729,-0.011889,0.059005,1
0.010671,-0.011773,0.059040,1
0.010861,-0.011923,0.058965,1
0.011097,-0.011642,0.058957,1
0.011084,-0.011545,0.058979,1
0.011218,-0.011396,0.058967,1
0.011286,-0.011256,0.058972,1
0.011525,-0.011144,0.058924,1
0.011506,-0.011049,0.058948,1
0.011608,-0.010857,0.058951,1
0.011615,-0.010702,0.058977,1
0.011725,-0.010652,0.058951,1
0.011916,-0.010563,0.058905,1
0.011974,-0.010446,0.058907,1
0.011952,-0.010193,0.058962,1
0.012029,-0.010181,0.058938,1
0.012133,-0.010163,0.058905,1
0.012189,-0.009780,0.058954,1
0.012288,-0.009716,0.058929,1
0.012280,-0.009589,0.058955,1
0.012271,-0.009467,0.058980,1
0.012401,-0.009262,0.058964,1
0.012498,-0.009176,0.058940,1
0.012595,-0.009090,0.058916,1
0.012629,-0.008890,0.058935,1
0.012610,-0.008771,0.058961,1
0.012593,-0.008655,0.058987,1
0.012730,-0.008380,0.058970,1
0.012824,-0.008309,0.058941,1
0.012917,-0.008239,0.058911,1
0.013009,-0.008169,0.058882,1
0.012975,-0.007949,0.058927,1
0.013148,-0.007819,0.058867,1
0.013100,-0.007537,0.058924,1
0.013216,-0.007471,0.058880,1
0.013176,-0.007413,0.058904,1
